College Code,College Name,District,Type,EIIN,Address
2312,SHAHID NAZMUL HAQUE DEGREE COLLEGE,NATORE,Govt.,124239,NALDANGA
2313,KALAM COLLEGE,NATORE,Non Govt.,124313,MIRZAPUR
2314,MOHORKOYA COLLEGE,NATORE,Non Govt.,124113,"MOHORKAYA, BILMARIA"
2315,TAMALTALA KRISHI & KARIGARI COLLEGE,NATORE,Non Govt.,123886,"TAMALTALA, BAGATIPARA."
2316,JAMNAGAR COLLEGE,NATORE,Non Govt.,123889,"JAMNAGAR, JAMNAGAR"
2317,BANSHBARIA DEGREE COLLEGE,NATORE,Non Govt.,123890,BANSHBARIA
2318,GOPALPUR WOMEN'S DEGREE COLLEGE,NATORE,Non Govt.,124117,GOPALPUR
2319,ROHMOT IQBAL DEGREE COLLEGE,NATORE,Non Govt.,124315,BAMIHA
2320,MOUKHARA ISLAMIA WOMEN'S DEGREE COLLEGE,NATORE,Non Govt.,123974,MOUKHARA
2321,RAZAPUR DEGREE COLLEGE,NATORE,Non Govt.,123978,RAJAPUR HAT
2322,SHEIKH FAZILATUNNESA MUZIB GOVT. WOMEN'S DEGREE COLLEGE,NATORE,Govt.,123971,"BOANPARA, HAROYA"
2323,BAGATIPARA MOHILA DEGREE COLLEGE,NATORE,Non Govt.,123885,BAGATIPARA
2324,DATTAPARA MODEL DEGREE COLLEGE,NATORE,Non Govt.,124238,"DATTAPARA, DHARAIL"
2325,BILL HALTI TRIMOHONI DEGREE COLLEGE,NATORE,Non Govt.,124316,NAGRMAJGRAM
2326,NAZIRPUR DEGREE COLLEGE,NATORE,Non Govt.,124031,"Non Govt.AZIRPUR, NAZIRPUR HAT"
2327,MADHNAGAR DEGREE COLLEGE,NATORE,Non Govt.,124240,"MADHNAGAR, NALDANGA"
2328,ROSEY MOZAMMEL WOMEN'S COLLEGE,NATORE,Non Govt.,124030,GURUDASPUR
2329,AHAMMEDPUR DEGREE COLLEGE,NATORE,Non Govt.,123972,AHAMMEDPUR
2330,ZONAIL DEGREE COLLEGE,NATORE,Non Govt.,123979,"ZONAIL, BARAIGRAM"
2331,NATORE CITY COLLEGE,NATORE,Non Govt.,124234,NATORE
2332,SAILKONA COLLEGE,NATORE,Non Govt.,123883,"BAGATIPARA, NATORE"
2333,NATORE TEACHERS' TRAINING COLLEGE,NATORE,Non Govt.,,Natore Sadar
2334,NATORE MOHILA COLLEGE,NATORE,Non Govt.,132044,BONBELGHORIA
2335,SINGRA CHALANBIL WOMEN'S DEGREE COLLEGE,NATORE,Non Govt.,124310,"SINGRA, NATORE"
2336,KHALISHA DANGA DEGREE COLLEGE,NATORE,Non Govt.,123977,DHANAIDAH
2337,KAFURIA DEGREE COLLEGE,NATORE,Non Govt.,124241,KAFURIA
2338,LALPUR COLLEGE,NATORE,Non Govt.,124116,JATDOYBOKY
2339,AZAM ALI COLLEGE,NATORE,Non Govt.,123975,BARAIGRAM
