orgid,approved_url
3835132,https://auth.dhi-edu.com/auth/realms/pacegroup/protocol/openid-connect/auth?client_id=pacegroup_pace&redirect_uri=https%3A%2F%2Fpacegroup.dhi-edu.com%2Fpacegroup_pace%2F&state=f751a4c5-0e99-41c0-8b29-5622a2ed4f13&response_mode=fragment&response_type=code&scope=openid&nonce=c3953d7d-8661-4dac-81b1-b0830a5f5898&code_challenge=uMnr6msL78FWPFqe1cDjwun83cXG0xilgACT2JbaJ_Y&code_challenge_method=S256
3835255,https://pup.samarth.edu.in/index.php/site/login
3835384,https://auth.dhi-edu.com/auth/realms/pesgroup/protocol/openid-connect/auth?client_id=pesgroup_pesce&redirect_uri=https%3A%2F%2Fpesgroup.dhi-edu.com%2Fpesgroup_pesce%2F&state=4adfc2db-153a-49d2-9c4d-8d3c3fc6dc3e&response_mode=fragment&response_type=code&scope=openid&nonce=2469d767-9f9a-4073-860f-310b7ca6f11b&code_challenge=tB2Pve8IsNua6VSfXc6kBGd8mWJXe-cI9IWdycJHDTs&code_challenge_method=S256
3835755,https://presidencyuniversity.linways.com/ams/student/login
3836056,https://slc.uod.ac.in/index.php/site/login
3836061,https://rajendrauniversity.samarth.edu.in/index.php/site/login
3836169,https://mu.samarth.edu.in/index.php/site/login
3836392,https://resociety.org/gjc_ofc/
3836432,https://hptuexam.com/site/userlogin
3836488,https://riet.linways.com/ams/student/login
3836836,http://sis.e365.tech/login.aspx?AppType=E&sid=2012
3836836,https://campus.uno/rrce
3837012,https://payonline.puchd.ac.in/sign-in
3837066,https://sahrdayacasv4.linways.com/ams/student/login
3837163,https://gtu.samarth.edu.in/index.php/site/login
3837450,https://arms.ssl.saveetha.com/
3837476,https://aktu.samarth.edu.in/index.php/site/login
3837566,https://saksham.sitslive.com/Login
3837566,https://slc.uod.ac.in/
3837632,https://sis.jntuhceh.ac.in/student/login
3837661,https://sol.unipune.ac.in/Login/Login/StudentLogin
3837668,https://ssetv4.linways.com/ams/student/login
3838077,https://slc.uod.ac.in/index.php/site/login
3838439,https://sibsagarcollege.samarth.edu.in/index.php/site/login
3838733,https://online.vtu.ac.in/auth/login
3838733,https://vtu.internyet.in/sign-in
3839215,https://rguhs.samarth.edu.in/index.php/site/login
3839388,https://slc.uod.ac.in/index.php/site/login
3840075,https://auth.dhi-edu.com/auth/realms/ssahe/protocol/openid-connect/auth?client_id=ssahe_examination&redirect_uri=https%3A%2F%2Fssahe.dhi-edu.com%2Fssahe_examination%2F&state=c1743fc9-b9c9-4df3-8528-36d26310f28d&response_mode=fragment&response_type=code&scope=openid&nonce=fad85f3f-f7e9-4c30-8cfd-a4c41955c97d&code_challenge=an_WNMjb7n-kgz-tuK_-l0gDJK6shR13RIq_GVvTK8c&code_challenge_method=S256
3840106,https://slc.uod.ac.in/index.php/site/login
3840377,https://amsv4.stthomas.ac.in/ams/student/login
3840541,https://slc.uod.ac.in/index.php/site/login
3840922,https://moodle.tcsc.edu.in/login/
3840922,https://thakur-ecampus.in/login.html
3841229,https://mu.samarth.edu.in/index.php/site/login
3841233,https://mu.samarth.edu.in/index.php/site/login
