orgId,portal,tnc
3839352,https://de.gtu.ac.in/account/login,https://samarth.edu.in/terms-and-conditions/
3839715,https://studentservices.jntuh.ac.in/oss/login.html,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
3839998,https://de.gtu.ac.in/account/login,https://samarth.edu.in/terms-and-conditions/
3841105,https://online.vtu.ac.in/auth/login,https://vtu.ac.in/en/privacy-policy-and-terms-of-use/
3841167,https://automation.muhs.ac.in/,https://automation.muhs.ac.in/copyright
3841167,https://elogbook.muhs.ac.in/,https://www.iitms.co.in/terms-and-conditions/
3841181,https://cuic.annauniv.edu/login/student,https://www.annauniv.edu/privacy_policy.php
3841181,https://onlineservices.annauniv.edu/pages/login.phpp,https://www.annauniv.edu/privacy_policy.php
3841246,https://sol.unipune.ac.in/Login/Login/StudentLogin,https://unipune.ac.in/university_files/copyright.htm
3841473,https://ssp.jnafau.ac.in/crequest/,https://jnafau.ac.in/privacy-policy/
3842223,https://beu.intelliexams.com/beuexams/LoginScreens/frmStudentLoginPage.aspx,https://beu.intelliexams.com/beuexams/SubLinks/FrmDisclaimer.aspx?Dis=IEHome
3842223,https://beu.intelliexams.com/beuexams/LoginScreens/frmStudentLoginPage.aspx,https://beu.intelliexams.com/beuexams/SubLinks/FrmTermsofuse.aspx?Terms=IEHome
3842270,https://mu.samarth.edu.in/index.php/site/login,https://samarth.edu.in/website-policies/
3842270,https://mum.digitaluniversity.ac/login,https://mkcl.org/privacy-policy/
3842340,https://workhnbgu.samarth.edu.in/index.php/site/login,https://samarth.edu.in/terms-and-conditions/
3842340,https://workhnbgu.samarth.edu.in/index.php/site/login,https://samarth.edu.in/website-policies/
3842344,https://exam.unigoa.ac.in/examinationPG/students/login,https://www.unigoa.ac.in/docs/terms-and-conditions.html
3842344,https://studentportal.unigoa.ac.in/studentportal/,https://www.unigoa.ac.in/docs/terms-and-conditions.html
3842344,https://unigoa.samarth.edu.in/index.php/site/login,https://samarth.edu.in/website-policies/
3844173,https://ccsuniversity.samarth.edu.in/index.php/site/login,https://samarth.edu.in/terms-and-conditions/
3844173,https://ccsuniversity.samarth.edu.in/index.php/site/login,https://samarth.edu.in/website-policies/
3844647,https://student.gtu.ac.in/,https://samarth.edu.in/terms-and-conditions/
3845195,https://pupadm.samarth.edu.in/index.php/site/login,https://samarth.edu.in/terms-and-conditions/
3845195,https://pupadm.samarth.edu.in/index.php/site/login,https://samarth.edu.in/website-policies/
3845231,https://cdoe.bharatividyapeeth.integratededucation.pwc.in/connectportal/Owner/Login,https://cdoe.bharatividyapeeth.integratededucation.pwc.in/sso/auth/legal-notices/terms-and-conditions
